#{"t_start": 1616511666.2872872, "env_id": null}
r,l,t
7,100,2.251698
16,100,2.689927
8,100,3.112017
14,100,3.541481
10,100,3.983493
14,100,4.389153
12,100,4.860232
16,100,5.337942
13,100,5.784799
11,100,6.258236
17,100,6.747747
17,100,7.185206
11,100,7.664546
17,100,8.168419
13,100,8.641036
10,100,9.103993
11,100,9.56147
17,100,9.997106
20,100,10.448895
15,100,10.871895
14,100,11.297106
9,100,11.696646
18,100,12.103795
15,100,12.505313
16,100,12.910863
19,100,13.331046
13,100,13.726584
21,100,14.192772
21,100,14.702269
18,100,15.168665
16,100,15.641716
12,100,16.082649
14,100,16.550246
13,100,16.997121
16,100,17.422228
10,100,17.834492
15,100,18.248843
14,100,18.664477
14,100,19.127757
8,100,19.576596
15,100,20.0854
10,100,20.592709
16,100,21.084122
10,100,21.550111
13,100,21.996975
13,100,22.444813
11,100,22.859705
9,100,23.300272
11,100,23.737008
13,100,24.200334
13,100,24.619549
15,100,25.125257
18,100,25.623258
13,100,26.039425
17,100,26.535277
16,100,26.994199
15,100,27.424627
8,100,27.86442
17,100,28.322114
19,100,28.777822
15,100,29.281759
13,100,29.782472
18,100,30.248519
21,100,30.659671
17,100,31.092725
10,100,31.536298
24,100,31.988761
10,100,32.480915
19,100,32.888044
15,100,33.383338
21,100,33.837593
14,100,34.283514
8,100,34.735266
26,100,35.202507
23,100,35.702517
22,100,36.166736
14,100,36.590806
19,100,37.017125
14,100,37.492567
13,100,37.975494
19,100,38.416445
17,100,38.843096
18,100,39.312628
19,100,39.74811
27,100,40.148354
23,100,40.567329
19,100,40.983981
22,100,41.387114
19,100,41.836286
17,100,42.242831
19,100,42.668396
14,100,43.109852
20,100,43.54845
22,100,44.001289
23,100,44.478198
22,100,44.912043
30,100,45.310511
26,100,45.722489
30,100,46.153119
26,100,46.579669
21,100,47.011116
25,100,47.433122
25,100,47.869453
24,100,48.307427
24,100,48.727075
20,100,49.173126
31,100,49.592077
24,100,50.045599
28,100,50.485402
23,100,50.908245
23,100,51.350627
25,100,51.779418
25,100,52.23745
25,100,52.705477
33,100,53.153523
28,100,53.560414
22,100,53.995333
20,100,54.433212
26,100,54.866993
13,100,55.302795
28,100,55.726362
25,100,56.119614
30,100,56.555479
20,100,56.930082
27,100,57.359921
28,100,57.808432
23,100,58.229955
30,100,58.633399
31,100,59.099307
34,100,59.517328
22,100,59.938657
35,100,60.448389
20,100,60.886266
19,100,61.304037
25,100,61.738638
29,100,62.226534
29,100,62.642514
31,100,63.091702
30,100,63.519403
25,100,63.950109
25,100,64.417115
28,100,64.845413
36,100,65.290511
24,100,65.709543
31,100,66.143758
22,100,66.577477
32,100,66.971195
33,100,67.399079
26,100,67.818322
31,100,68.233887
28,100,68.646707
21,100,69.070384
29,100,69.490346
23,100,69.948688
25,100,70.371561
26,100,70.794822
27,100,71.206305
27,100,71.636771
25,100,72.054452
31,100,72.48016
21,100,72.907886
35,100,73.384878
34,100,73.902216
29,100,74.344652
25,100,74.811038
26,100,75.242775
33,100,75.701911
29,100,76.110054
24,100,76.539146
31,100,76.939175
26,100,77.34785
35,100,77.75205
27,100,78.195632
29,100,78.636477
32,100,79.058807
23,100,79.464871
37,100,79.920135
29,100,80.353801
30,100,80.818184
30,100,81.307983
37,100,81.764325
30,100,82.251691
31,100,82.69443
35,100,83.123036
26,100,83.599471
26,100,84.063936
29,100,84.467057
34,100,84.920306
25,100,85.341822
31,100,85.81943
31,100,86.249851
32,100,86.721846
33,100,87.136549
37,100,87.590049
36,100,88.055722
25,100,88.463722
33,100,88.918264
34,100,89.349348
31,100,89.783849
33,100,90.194274
31,100,90.646776
32,100,91.104737
37,100,91.589568
30,100,92.058946
38,100,92.490147
36,100,92.951118
22,100,93.382776
29,100,93.86319
32,100,94.280323
38,100,94.703442
28,100,95.140258
33,100,95.543688
31,100,95.986065
32,100,96.443992
29,100,96.873032
29,100,97.301744
28,100,97.788964
25,100,98.211298
30,100,98.624628
29,100,99.110427
42,100,99.567297
24,100,100.007797
34,100,100.445906
39,100,100.862348
29,100,101.290942
30,100,101.71525
26,100,102.130313
31,100,102.545198
36,100,102.988394
34,100,103.397506
28,100,103.882447
29,100,104.302635
32,100,104.764945
32,100,105.205767
37,100,105.630383
29,100,106.069203
27,100,106.479107
26,100,106.971434
30,100,107.424575
29,100,107.87151
35,100,108.296495
33,100,108.712056
32,100,109.122668
32,100,109.558667
35,100,110.012635
27,100,110.444727
33,100,110.86647
25,100,111.267474
35,100,111.683471
33,100,112.11752
37,100,112.552664
37,100,112.983374
36,100,113.424914
32,100,113.851157
32,100,114.338168
35,100,114.801922
27,100,115.22725
30,100,115.705324
32,100,116.153286
26,100,116.568058
