#{"t_start": 1617137074.03523, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
0.0,127,4.315824
4.0,258,8.674092
3.0,248,13.230467
2.0,200,17.214562
1.0,173,20.157218
2.0,199,23.995138
0.0,129,26.277681
0.0,127,28.546144
4.0,299,34.333723
3.0,273,39.785851
2.0,198,44.092551
2.0,201,48.85941
0.0,127,51.221346
1.0,155,54.137041
2.0,204,57.96517
2.0,199,61.959697
0.0,129,64.395096
0.0,127,66.794218
0.0,127,69.117018
1.0,170,72.587187
11.0,503,82.783173
2.0,186,86.507319
0.0,129,88.85527
5.0,350,95.923079
2.0,202,100.037243
3.0,271,105.553734
5.0,350,112.408093
3.0,230,116.850601
5.0,366,124.071333
2.0,202,127.951317
13.0,459,137.394815
0.0,129,139.758416
0.0,127,142.195438
2.0,202,146.186383
0.0,125,148.520163
0.0,125,150.921884
0.0,129,153.236261
0.0,125,155.497939
7.0,429,163.936408
0.0,127,166.302524
10.0,454,175.683139
2.0,200,179.750879
0.0,129,182.118571
4.0,297,187.921744
0.0,127,190.335172
2.0,202,194.317409
9.0,404,202.780811
6.0,382,210.284012
0.0,129,212.740761
0.0,127,215.263985
10.0,450,224.560707
1.0,157,227.577205
0.0,127,229.86127
9.0,401,237.718609
0.0,129,240.087252
0.0,125,242.358804
2.0,198,246.114782
8.0,372,253.501667
0.0,127,255.740859
5.0,352,262.446218
3.0,248,267.23489
3.0,230,271.644763
3.0,229,276.045989
2.0,202,280.176724
3.0,233,284.926503
4.0,299,291.272153
4.0,281,297.264733
1.0,175,301.11346
0.0,127,303.500527
4.0,297,309.303897
3.0,250,314.217291
0.0,127,316.51416
5.0,352,323.834084
2.0,202,327.969168
3.0,212,332.055118
0.0,127,334.374105
0.0,129,336.73835
0.0,129,339.249487
9.0,382,346.832044
10.0,429,355.253592
11.0,271,360.595706
11.0,414,368.727427
10.0,449,377.567622
6.0,394,385.184729
0.0,125,387.46008
5.0,329,393.851084
5.0,328,400.160518
7.0,373,407.362792
12.0,550,418.200366
5.0,304,423.924587
1.0,176,427.158819
7.0,429,435.520422
10.0,394,443.142106
3.0,214,447.109243
8.0,475,456.206503
16.0,593,467.851526
4.0,262,472.806379
16.0,587,484.061368
11.0,271,489.230036
2.0,185,492.603276
15.0,526,503.355481
14.0,554,514.391905
9.0,530,524.779914
3.0,254,530.19117
4.0,265,535.303751
6.0,362,543.045817
8.0,453,552.376021
12.0,593,564.853852
18.0,609,576.633659
7.0,386,583.968942
13.0,487,593.334622
15.0,508,603.133193
6.0,325,609.329949
13.0,568,620.52943
16.0,453,629.605454
10.0,362,636.522572
25.0,606,648.178344
10.0,507,657.865206
19.0,637,670.03551
25.0,849,686.399702
14.0,382,693.620362
12.0,467,702.579423
8.0,456,711.281935
19.0,700,724.878611
13.0,486,734.359167
18.0,692,747.848641
12.0,498,757.418722
14.0,655,770.052549
25.0,804,785.625346
26.0,547,796.187319
16.0,632,808.454636
12.0,506,818.116371
15.0,556,828.940614
23.0,769,843.892283
20.0,737,858.15345
19.0,726,872.098548
21.0,622,883.995548
16.0,634,896.10172
9.0,509,905.7579
20.0,703,919.18274
18.0,746,933.582561
30.0,920,951.552874
20.0,800,967.064704
34.0,1183,990.161056
23.0,680,1003.235998
20.0,578,1014.312451
27.0,830,1030.298477
34.0,929,1048.646519
15.0,549,1059.004467
16.0,669,1071.827566
20.0,640,1084.10203
26.0,769,1098.82483
25.0,828,1114.915301
39.0,1127,1136.743042
26.0,789,1152.035545
16.0,609,1163.709743
15.0,696,1177.011837
16.0,627,1189.012297
34.0,821,1204.747053
23.0,805,1220.059532
24.0,834,1235.958035
31.0,998,1255.04979
24.0,629,1267.019372
