#{"t_start": 1617373875.9055867, "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
8.0,418,5.872137
3.0,246,8.427813
0.0,127,9.645778
0.0,129,10.880844
0.0,123,12.017858
3.0,250,14.620158
3.0,248,17.102888
0.0,129,18.282153
1.0,173,19.924459
0.0,127,21.156104
3.0,232,23.458393
0.0,127,24.602693
1.0,155,25.956354
1.0,159,27.49857
1.0,170,29.250068
2.0,207,31.389549
0.0,125,32.610272
0.0,129,33.855559
0.0,129,35.126638
2.0,224,37.414954
2.0,209,39.428498
2.0,218,41.589721
1.0,171,43.29892
2.0,202,45.3529
0.0,127,46.603746
4.0,324,49.990193
0.0,127,51.33675
0.0,129,52.607096
0.0,127,53.917705
0.0,129,55.301802
1.0,157,56.926623
0.0,129,58.228996
0.0,123,59.424871
0.0,127,60.579633
0.0,127,61.870082
2.0,223,63.983731
1.0,155,65.509743
2.0,205,67.577399
0.0,129,68.812737
5.0,350,72.238084
1.0,157,73.705133
0.0,127,74.975893
5.0,345,78.578692
0.0,125,79.857104
2.0,202,81.934226
1.0,155,83.500147
0.0,125,84.690579
2.0,198,86.744702
0.0,129,88.117277
1.0,176,90.00005
0.0,127,91.323422
1.0,174,93.026357
0.0,129,94.333189
3.0,230,96.683524
0.0,127,97.926887
1.0,155,99.49502
0.0,129,100.831882
2.0,202,102.745398
0.0,129,103.981395
0.0,129,105.268312
0.0,129,106.502883
1.0,155,107.961533
3.0,274,110.787082
0.0,129,112.005384
4.0,321,115.328837
2.0,202,117.463155
0.0,125,118.662195
0.0,127,119.903292
12.0,520,125.356128
0.0,127,126.58268
0.0,125,127.787526
0.0,127,128.98702
2.0,198,131.103519
0.0,127,132.22794
2.0,202,134.217919
1.0,155,135.713027
3.0,248,138.05347
0.0,129,139.268501
0.0,129,140.522308
1.0,176,142.29674
2.0,198,144.169131
1.0,174,145.964539
0.0,127,147.233707
0.0,127,148.432311
4.0,297,151.454213
1.0,155,152.983332
3.0,248,155.358374
4.0,300,158.398223
2.0,182,160.316529
0.0,127,161.588479
0.0,129,162.920889
0.0,129,164.238112
2.0,224,166.508975
5.0,329,169.916781
0.0,125,171.219416
7.0,449,175.804325
6.0,379,179.56862
0.0,127,180.837156
3.0,248,183.319893
2.0,202,185.298014
2.0,202,187.387835
1.0,159,188.965638
0.0,129,190.173356
0.0,127,191.440278
0.0,129,192.721897
0.0,125,194.00692
2.0,202,195.911857
2.0,200,197.789275
4.0,298,200.702932
2.0,192,202.613938
2.0,206,204.646924
3.0,234,206.93171
0.0,129,208.162504
0.0,129,209.421085
6.0,340,213.028672
5.0,331,216.290338
1.0,171,217.986384
2.0,186,219.878464
5.0,350,223.593674
0.0,127,224.830208
9.0,404,229.11723
10.0,412,233.381607
0.0,129,234.604405
6.0,357,238.444359
4.0,248,241.034665
0.0,127,242.240753
0.0,125,243.468728
5.0,349,246.930346
6.0,379,250.55725
1.0,176,252.168359
