#{"t_start": 1616892557.202469, "env_id": null}
r,l,t
-34.4,250,2.159569
-48.6,250,2.685581
-40.0,250,3.213337
-47.6,250,3.736863
-40.7,250,4.255531
-44.7,250,4.772257
-38.7,250,5.294307
-32.7,250,5.817738
-38.5,250,6.340468
-48.1,250,6.866064
-41.7,250,7.383361
-45.6,250,7.912926
-44.0,250,8.443725
-50.0,250,8.9695
-44.3,250,9.499856
-46.7,250,10.024463
-41.5,250,10.556844
-41.3,250,11.084865
-45.1,250,11.636615
-40.2,250,12.194932
-40.3,250,12.750388
-40.9,250,13.299063
-39.9,250,13.853058
-34.6,250,14.411665
-39.4,250,14.969035
-40.9,250,15.53221
-38.4,250,16.085872
-38.1,250,16.641257
-38.0,250,17.201554
-41.7,250,17.763636
-41.1,250,18.325896
-39.3,250,18.875488
-37.4,250,19.436488
-39.3,250,19.998923
-41.3,250,20.563545
-40.5,250,21.129023
-41.4,250,21.71559
-35.0,250,22.304639
-36.0,250,23.078085
-42.3,250,23.687571
-40.5,250,24.261964
-40.4,250,24.840088
-41.4,250,25.409317
-42.0,250,25.983813
-40.0,250,26.560946
-39.4,250,27.13748
-32.7,250,27.708661
-40.6,250,28.27308
-35.0,250,28.848185
-39.9,250,29.41698
-36.3,250,29.988215
-40.7,250,30.563777
-43.1,250,31.138509
-44.2,250,31.700621
-47.6,250,32.268388
-41.7,250,32.840966
-32.9,250,33.412964
-39.2,250,33.987544
-34.9,250,34.549934
-44.7,250,35.120956
-41.3,250,35.695203
-31.9,250,36.276497
-36.3,250,36.8514
-37.8,250,37.414882
-44.4,250,37.993725
-36.1,250,38.569712
-36.2,250,39.143285
-40.1,250,39.717469
-36.3,250,40.294156
-51.8,250,40.86729
-54.9,250,41.442239
-41.8,250,42.016592
-42.7,250,42.590166
-41.0,250,43.168232
-37.7,250,43.733835
-39.1,250,44.309328
-40.7,250,44.888777
-31.9,250,45.459223
-40.1,250,46.038311
-37.5,250,46.604147
-37.7,250,47.177831
-36.9,250,47.750707
-43.6,250,48.325134
-39.0,250,48.903588
-41.9,250,49.480808
-40.7,250,50.050863
-39.2,250,50.627968
-40.2,250,51.207474
-36.2,250,51.787673
-39.5,250,52.372535
-40.1,250,52.944168
-34.6,250,53.525552
-42.4,250,54.107102
-37.0,250,54.686785
-31.5,250,55.270359
-37.3,250,55.844109
-36.6,250,56.428496
-29.6,250,57.012506
-29.2,250,57.596143
-41.9,250,58.176592
-35.8,250,58.753646
-32.2,250,59.323071
-38.5,250,59.908262
-35.4,250,60.488656
-33.3,250,61.067724
-36.7,250,61.649357
-37.7,250,62.223359
-31.2,250,62.80944
-35.0,250,63.392611
-34.4,250,63.970382
-28.6,250,64.552668
-31.9,250,65.124278
-36.0,250,65.702192
-33.8,250,66.281179
-38.8,250,66.862176
-33.9,250,67.449846
-33.1,250,68.034532
-33.4,250,68.608586
-29.6,250,69.190523
-46.6,250,69.774741
-40.6,250,70.360506
-44.9,250,70.9441
-32.6,250,71.505979
-27.3,250,72.082778
-33.4,250,72.663852
-34.0,250,73.247004
-42.2,250,73.82934
